Respondent ID,Collector ID,Start Date,End Date,What age group do you belong?,Please rate the ease of use for accessing the Video Consultation today?,Please rate your overall experience of the Video Consultation today?,Would you be happy to use the Video Consultation again?,Please provide us with any additional comments/ suggestions.,Waiting Area
13497606489,258318234,2022-06-18 00:54:50,2022-06-18 00:55:11,36 - 45,Satisfied,Satisfied,Yes,,AUH-Ophthalmology
13497171437,258318234,2022-06-17 13:01:49,2022-06-17 13:02:13,46 - 65,Satisfied,Satisfied,Yes,,RLH-AXESS
13497080969,258318234,2022-06-17 09:44:30,2022-06-17 09:44:46,16 - 25,Very Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13496518810,258318234,2022-06-16 15:47:53,2022-06-16 15:48:12,16 - 25,Very Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13496507408,258318234,2022-06-16 15:32:57,2022-06-16 15:33:18,16 - 25,Satisfied,Satisfied,Yes,,RLH-Endocrinology
13496483253,258318234,2022-06-16 14:59:55,2022-06-16 15:00:45,46 - 65,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13496418140,258318234,2022-06-16 13:27:49,2022-06-16 13:28:18,16 - 25,Very Satisfied,Satisfied,Yes,,BGH-CFSandMETherapyService
13496376653,258318234,2022-06-16 12:09:00,2022-06-16 12:09:42,16 - 25,Very Satisfied,Very Satisfied,Yes,,AUH-MaxilloFacialUnit
13496351182,258318234,2022-06-16 11:12:40,2022-06-16 11:14:46,36 - 45,Very Satisfied,Very Satisfied,Yes,An exceptional experience with the dietitian as she displays empathy. ,AUH-SWMS
13496337432,258318234,2022-06-16 10:28:09,2022-06-16 10:45:38,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13496320672,258318234,2022-06-16 09:55:28,2022-06-16 10:08:05,65+,Satisfied,Very Satisfied,Yes,Quite easy. ,AUH-Ophthalmology
13496295747,258318234,2022-06-16 09:11:32,2022-06-16 09:14:51,46 - 65,Satisfied,Very Satisfied,Yes,An effective use of time when dealing with uncomplicated issues.,AUH-Ophthalmology
13495727716,258318234,2022-06-15 16:30:03,2022-06-15 16:30:32,46 - 65,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13495725067,258318234,2022-06-15 16:27:02,2022-06-15 16:27:26,46 - 65,Satisfied,Satisfied,Yes,,RLH-Vascular
13495687906,258318234,2022-06-15 15:46:02,2022-06-15 15:46:15,46 - 65,Satisfied,Satisfied,Yes,,RLH-ClinicalPsychology
13495662520,258318234,2022-06-15 15:16:18,2022-06-15 15:17:00,46 - 65,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13495659266,258318234,2022-06-15 15:08:24,2022-06-15 15:13:02,16 - 25,Very Satisfied,Very Satisfied,Yes,,RLH-Gastroenterology
